"","Eye","Head","Neck","Back","Trunk","Shoulder","Arm","Wrist","Hand(s)","Hand(s), except finger(s)","Finger(s), fingernail(s)","Upper extremities","Knee","Ankle","Foot","Toe, toenail","Lower extremities","Body systems","Multiple","all other","value"
"1882",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
"1883",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1884",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
"1885",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"1886",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"1887",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1888",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1889",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
"1890",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"1891",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
"1892",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"1893",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
"1894",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"1895",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
"1896",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
"1897",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72
"1898",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111
"1899",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1900",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"1901",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1902",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
"1903",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1904",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"1905",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"1906",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
"1907",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"1908",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1909",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
"1910",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"1911",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
"1912",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"1913",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1914",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
"1915",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
"1916",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"1917",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"1918",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1919",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1920",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1921",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1922",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"1923",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"1924",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"1925",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43
"1926",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1927",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,64
"1928",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1929",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"1930",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"1931",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"1932",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1933",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1934",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"1935",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1936",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"1937",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"1938",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1939",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1940",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1941",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"1942",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"1943",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"1944",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1945",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"1946",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"1947",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1948",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1949",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"1950",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"1951",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"1952",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43
"1953",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1954",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1955",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"1956",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"1957",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1958",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"1959",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1960",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,57
"1961",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"1962",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1963",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"1964",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"1965",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"1966",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"1967",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28
"1968",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"1969",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"1970",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"1971",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"1972",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"1973",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,51
"1974",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"1975",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"1976",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"1977",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"1978",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"1979",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"1980",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"1981",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"1982",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1983",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"1984",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"1985",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1986",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"1987",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"1988",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"1989",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1990",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1991",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36
"1992",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"1993",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"1994",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"1995",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1996",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"1997",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40
"1998",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1999",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"2000",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"2001",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35
"2002",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"2003",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"2004",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2005",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"2006",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"2007",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"2008",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34
"2009",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30
"2010",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"2011",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"2012",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"2013",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43
"2014",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"2015",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"2016",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"2017",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"2018",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,180
"2019",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"2020",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30
"2021",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"2022",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"2023",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19
"2024",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"2025",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"2026",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"2027",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"2028",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,106
"2029",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"2030",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"2031",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"2032",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"2033",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"2034",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"2035",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"2036",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"2037",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"2038",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"2039",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"2040",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"2041",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"2042",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"2043",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2044",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"2045",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"2046",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"2047",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21
"2048",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"2049",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"2050",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"2051",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2052",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"2053",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"2054",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2055",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"2056",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"2057",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"2058",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"2059",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2060",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32
"2061",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"2062",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"2063",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"2064",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19
"2065",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"2066",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"2067",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"2068",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"2069",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"2070",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"2071",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"2072",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"2073",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"2074",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"2075",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"2076",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"2077",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"2078",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"2079",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"2080",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"2081",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"2082",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"2083",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"2084",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"2085",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"2086",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"2087",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"2088",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"2089",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"2090",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"2091",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
