"","16-19","20-24","25-34","35-44","45-54","55-64","65+","value"
"456",0,0,0,0,0,0,1,115
"457",0,0,0,0,0,0,1,41
"458",0,0,0,0,0,0,1,1
"459",0,0,0,0,0,0,1,106
"460",0,0,0,0,0,0,1,5
"461",0,0,0,0,0,0,1,20
"462",0,0,0,0,0,0,1,14
"463",0,0,0,0,0,0,1,4
"464",0,0,0,0,0,0,1,42
"465",0,0,0,0,0,0,1,3
"466",0,0,0,0,0,0,1,40
"467",0,0,0,0,0,0,1,14
"468",0,0,0,0,0,0,1,5
"469",0,0,0,0,0,0,1,90
"470",0,0,0,0,0,0,1,5
"471",0,0,0,0,0,0,1,41
"472",0,0,0,0,0,0,1,12
