"","16-19","20-24","25-34","35-44","45-54","55-64","65+","value"
"90",1,0,0,0,0,0,0,4
"91",1,0,0,0,0,0,0,7
"92",1,0,0,0,0,0,0,1
"93",1,0,0,0,0,0,0,4
"94",1,0,0,0,0,0,0,4
"95",1,0,0,0,0,0,0,3
"96",1,0,0,0,0,0,0,2
"97",1,0,0,0,0,0,0,14
"98",1,0,0,0,0,0,0,3
"99",1,0,0,0,0,0,0,3
"100",1,0,0,0,0,0,0,2
"101",1,0,0,0,0,0,0,14
"102",1,0,0,0,0,0,0,2
"103",1,0,0,0,0,0,0,5
"104",1,0,0,0,0,0,0,4
"105",1,0,0,0,0,0,0,3
"106",1,0,0,0,0,0,0,2
"107",1,0,0,0,0,0,0,4
"108",1,0,0,0,0,0,0,4
"109",1,0,0,0,0,0,0,4
"110",1,0,0,0,0,0,0,2
"111",1,0,0,0,0,0,0,3
"112",1,0,0,0,0,0,0,2
"113",1,0,0,0,0,0,0,2
"114",1,0,0,0,0,0,0,4
"115",1,0,0,0,0,0,0,2
"116",1,0,0,0,0,0,0,3
"117",1,0,0,0,0,0,0,2
"118",1,0,0,0,0,0,0,15
"119",1,0,0,0,0,0,0,5
"120",1,0,0,0,0,0,0,28
"121",1,0,0,0,0,0,0,2
"122",1,0,0,0,0,0,0,3
"123",1,0,0,0,0,0,0,3
"124",1,0,0,0,0,0,0,3
"125",1,0,0,0,0,0,0,2
"126",1,0,0,0,0,0,0,2
"127",1,0,0,0,0,0,0,13
"128",1,0,0,0,0,0,0,4
"129",1,0,0,0,0,0,0,3
"130",1,0,0,0,0,0,0,4
"131",1,0,0,0,0,0,0,3
"132",1,0,0,0,0,0,0,14
"133",1,0,0,0,0,0,0,4
"134",1,0,0,0,0,0,0,6
"135",1,0,0,0,0,0,0,6
"136",1,0,0,0,0,0,0,2
"137",1,0,0,0,0,0,0,1
"138",1,0,0,0,0,0,0,2
"139",1,0,0,0,0,0,0,2
"140",1,0,0,0,0,0,0,2
"141",1,0,0,0,0,0,0,4
"142",1,0,0,0,0,0,0,2
"143",1,0,0,0,0,0,0,4
"144",1,0,0,0,0,0,0,2
"145",1,0,0,0,0,0,0,6
"146",1,0,0,0,0,0,0,3
"147",1,0,0,0,0,0,0,2
"148",1,0,0,0,0,0,0,2
"149",1,0,0,0,0,0,0,3
"150",1,0,0,0,0,0,0,5
"151",1,0,0,0,0,0,0,7
"152",1,0,0,0,0,0,0,5
"153",1,0,0,0,0,0,0,14
"154",1,0,0,0,0,0,0,5
"155",1,0,0,0,0,0,0,5
"156",1,0,0,0,0,0,0,2
"157",1,0,0,0,0,0,0,3
"158",1,0,0,0,0,0,0,2
"159",1,0,0,0,0,0,0,1
"160",1,0,0,0,0,0,0,1
"161",1,0,0,0,0,0,0,3
"162",1,0,0,0,0,0,0,12
"163",1,0,0,0,0,0,0,2
"164",1,0,0,0,0,0,0,1
"165",1,0,0,0,0,0,0,2
"166",1,0,0,0,0,0,0,4
"167",1,0,0,0,0,0,0,3
"168",1,0,0,0,0,0,0,24
"169",1,0,0,0,0,0,0,2
"170",1,0,0,0,0,0,0,1
"171",1,0,0,0,0,0,0,4
"172",1,0,0,0,0,0,0,4
"173",1,0,0,0,0,0,0,3
"174",1,0,0,0,0,0,0,8
"175",1,0,0,0,0,0,0,11
"176",1,0,0,0,0,0,0,20
"177",1,0,0,0,0,0,0,4
"178",1,0,0,0,0,0,0,14
"179",1,0,0,0,0,0,0,2
"180",1,0,0,0,0,0,0,3
"181",1,0,0,0,0,0,0,3
"182",1,0,0,0,0,0,0,4
"183",1,0,0,0,0,0,0,5
"184",1,0,0,0,0,0,0,3
"185",1,0,0,0,0,0,0,3
"186",1,0,0,0,0,0,0,3
"187",1,0,0,0,0,0,0,3
"188",1,0,0,0,0,0,0,4
"189",1,0,0,0,0,0,0,3
"190",1,0,0,0,0,0,0,3
"191",1,0,0,0,0,0,0,2
"192",1,0,0,0,0,0,0,5
"193",1,0,0,0,0,0,0,2
