"","Fractures","Sprains, strains, tears","Amputations","Bruise, contusions","Chemical burns and corrosions","Heat (thermal) burns","Soreness, pain","Cuts, lacerations","Punctures (except gunshot wounds)","Cuts, lacerations, punctures","Carpal tunnel syndrome","Tendonitis","With sprains","With fractures","Multiple traumatic injuries","all other","value"
"129",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"130",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157
"131",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
"132",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"133",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150
"134",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
"135",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
"136",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"137",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"138",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"139",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"140",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180
"141",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
"142",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
"143",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
"144",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
"145",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
"146",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
"147",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"148",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
"149",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"150",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
"151",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"152",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
"153",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"154",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
"155",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
"156",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
"157",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
"158",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
"159",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
"160",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
"161",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180
"162",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"163",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
"164",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
"165",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"166",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
"167",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"168",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"169",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"170",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"171",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"172",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105
"173",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"174",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
"175",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
"176",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
"177",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"178",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94
"179",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"180",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
"181",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
"182",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
