"","12AM-4AM"," 4AM-8AM","8AM-12PM","12PM-4PM","4PM-8PM","8PM-12AM","value"
"85",1,0,0,0,0,0,65
"86",1,0,0,0,0,0,20
"87",1,0,0,0,0,0,14
"88",1,0,0,0,0,0,1
"89",1,0,0,0,0,0,9
"90",1,0,0,0,0,0,2
"91",1,0,0,0,0,0,60
"92",1,0,0,0,0,0,2
"93",1,0,0,0,0,0,1
"94",1,0,0,0,0,0,1
"95",1,0,0,0,0,0,4
"96",1,0,0,0,0,0,1
"97",1,0,0,0,0,0,4
"98",1,0,0,0,0,0,6
"99",1,0,0,0,0,0,118
"100",1,0,0,0,0,0,3
"101",1,0,0,0,0,0,5
"102",1,0,0,0,0,0,9
"103",1,0,0,0,0,0,5
"104",1,0,0,0,0,0,7
"105",1,0,0,0,0,0,3
"106",1,0,0,0,0,0,2
"107",1,0,0,0,0,0,64
"108",1,0,0,0,0,0,54
"109",1,0,0,0,0,0,1
"110",1,0,0,0,0,0,55
"111",1,0,0,0,0,0,1
"112",1,0,0,0,0,0,47
"113",1,0,0,0,0,0,7
"114",1,0,0,0,0,0,4
"115",1,0,0,0,0,0,1
"116",1,0,0,0,0,0,8
"117",1,0,0,0,0,0,38
"118",1,0,0,0,0,0,10
"119",1,0,0,0,0,0,2
"120",1,0,0,0,0,0,7
"121",1,0,0,0,0,0,5
"122",1,0,0,0,0,0,1
"123",1,0,0,0,0,0,4
"124",1,0,0,0,0,0,10
"125",1,0,0,0,0,0,96
"126",1,0,0,0,0,0,5
"127",1,0,0,0,0,0,1
"128",1,0,0,0,0,0,9
"129",1,0,0,0,0,0,10
"130",1,0,0,0,0,0,93
"131",1,0,0,0,0,0,12
"132",1,0,0,0,0,0,4
"133",1,0,0,0,0,0,24
"134",1,0,0,0,0,0,7
"135",1,0,0,0,0,0,98
"136",1,0,0,0,0,0,1
"137",1,0,0,0,0,0,64
"138",1,0,0,0,0,0,5
"139",1,0,0,0,0,0,2
"140",1,0,0,0,0,0,11
"141",1,0,0,0,0,0,2
"142",1,0,0,0,0,0,40
"143",1,0,0,0,0,0,4
"144",1,0,0,0,0,0,6
"145",1,0,0,0,0,0,10
"146",1,0,0,0,0,0,2
"147",1,0,0,0,0,0,65
"148",1,0,0,0,0,0,20
"149",1,0,0,0,0,0,2
"150",1,0,0,0,0,0,90
"151",1,0,0,0,0,0,12
"152",1,0,0,0,0,0,12
"153",1,0,0,0,0,0,10
"154",1,0,0,0,0,0,2
"155",1,0,0,0,0,0,5
"156",1,0,0,0,0,0,5
"157",1,0,0,0,0,0,2
"158",0,1,0,0,0,0,17
"159",0,1,0,0,0,0,15
"160",0,1,0,0,0,0,2
"161",0,1,0,0,0,0,178
"162",0,1,0,0,0,0,14
"163",0,1,0,0,0,0,4
"164",0,1,0,0,0,0,1
"165",0,1,0,0,0,0,7
"166",0,1,0,0,0,0,150
"167",0,1,0,0,0,0,4
"168",0,1,0,0,0,0,9
"169",0,1,0,0,0,0,5
"170",0,1,0,0,0,0,8
"171",0,1,0,0,0,0,7
"172",0,1,0,0,0,0,31
"173",0,1,0,0,0,0,28
"174",0,1,0,0,0,0,11
"175",0,1,0,0,0,0,24
"176",0,1,0,0,0,0,32
"177",0,1,0,0,0,0,46
"178",0,1,0,0,0,0,17
"179",0,1,0,0,0,0,17
"180",0,1,0,0,0,0,15
"181",0,1,0,0,0,0,4
"182",0,1,0,0,0,0,6
"183",0,1,0,0,0,0,2
"184",0,1,0,0,0,0,2
"185",0,1,0,0,0,0,5
