"","Sunday","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","value"
"357",1,0,0,0,0,0,0,17
"358",1,0,0,0,0,0,0,7
"359",1,0,0,0,0,0,0,20
"360",1,0,0,0,0,0,0,30
"361",1,0,0,0,0,0,0,3
"362",1,0,0,0,0,0,0,3
"363",1,0,0,0,0,0,0,4
"364",1,0,0,0,0,0,0,5
"365",1,0,0,0,0,0,0,2
"366",1,0,0,0,0,0,0,4
"367",1,0,0,0,0,0,0,1
"368",1,0,0,0,0,0,0,3
"369",1,0,0,0,0,0,0,75
"370",1,0,0,0,0,0,0,4
"371",1,0,0,0,0,0,0,1
"372",1,0,0,0,0,0,0,3
"373",1,0,0,0,0,0,0,22
"374",1,0,0,0,0,0,0,16
"375",1,0,0,0,0,0,0,2
"376",1,0,0,0,0,0,0,4
"377",1,0,0,0,0,0,0,3
"378",1,0,0,0,0,0,0,7
"379",1,0,0,0,0,0,0,6
"380",1,0,0,0,0,0,0,3
"381",1,0,0,0,0,0,0,14
"382",1,0,0,0,0,0,0,36
"383",1,0,0,0,0,0,0,10
"384",1,0,0,0,0,0,0,1
"385",1,0,0,0,0,0,0,26
"386",1,0,0,0,0,0,0,2
"387",1,0,0,0,0,0,0,2
"388",1,0,0,0,0,0,0,3
"389",1,0,0,0,0,0,0,6
"390",1,0,0,0,0,0,0,1
"391",1,0,0,0,0,0,0,11
"392",1,0,0,0,0,0,0,21
"393",1,0,0,0,0,0,0,35
"394",1,0,0,0,0,0,0,3
"395",1,0,0,0,0,0,0,23
"396",1,0,0,0,0,0,0,95
"397",1,0,0,0,0,0,0,2
"398",1,0,0,0,0,0,0,4
"399",1,0,0,0,0,0,0,10
"400",1,0,0,0,0,0,0,2
"401",1,0,0,0,0,0,0,3
"402",1,0,0,0,0,0,0,3
"403",1,0,0,0,0,0,0,2
"404",1,0,0,0,0,0,0,5
"405",1,0,0,0,0,0,0,3
"406",1,0,0,0,0,0,0,4
"407",1,0,0,0,0,0,0,2
"408",1,0,0,0,0,0,0,26
"409",1,0,0,0,0,0,0,5
"410",1,0,0,0,0,0,0,5
"411",1,0,0,0,0,0,0,3
"412",1,0,0,0,0,0,0,2
"413",1,0,0,0,0,0,0,2
"414",1,0,0,0,0,0,0,15
"415",1,0,0,0,0,0,0,2
"416",1,0,0,0,0,0,0,2
"417",1,0,0,0,0,0,0,2
"418",1,0,0,0,0,0,0,3
"419",1,0,0,0,0,0,0,35
"420",1,0,0,0,0,0,0,112
"421",1,0,0,0,0,0,0,4
"422",1,0,0,0,0,0,0,5
"423",1,0,0,0,0,0,0,1
"424",1,0,0,0,0,0,0,1
"425",1,0,0,0,0,0,0,15
"426",1,0,0,0,0,0,0,10
"427",1,0,0,0,0,0,0,18
"428",1,0,0,0,0,0,0,10
"429",1,0,0,0,0,0,0,5
"430",1,0,0,0,0,0,0,3
"431",1,0,0,0,0,0,0,4
"432",1,0,0,0,0,0,0,6
"433",1,0,0,0,0,0,0,5
"434",1,0,0,0,0,0,0,5
"435",1,0,0,0,0,0,0,6
"436",1,0,0,0,0,0,0,14
"437",1,0,0,0,0,0,0,7
"438",1,0,0,0,0,0,0,5
"439",1,0,0,0,0,0,0,4
"440",1,0,0,0,0,0,0,13
