"","<3 mos.","3-11 mos.","1-5 yrs.","5 yrs.","Not reported","value"
"430",1,0,0,0,0,3
"431",1,0,0,0,0,7
"432",1,0,0,0,0,6
"433",1,0,0,0,0,2
"434",1,0,0,0,0,16
"435",1,0,0,0,0,3
"436",1,0,0,0,0,2
"437",1,0,0,0,0,5
"438",1,0,0,0,0,2
"439",1,0,0,0,0,37
"440",1,0,0,0,0,6
"441",1,0,0,0,0,14
"442",1,0,0,0,0,6
"443",1,0,0,0,0,7
"444",1,0,0,0,0,3
"445",1,0,0,0,0,4
"446",1,0,0,0,0,6
"447",1,0,0,0,0,14
"448",1,0,0,0,0,120
"449",1,0,0,0,0,3
"450",1,0,0,0,0,6
"451",1,0,0,0,0,10
"452",1,0,0,0,0,6
"453",1,0,0,0,0,15
"454",1,0,0,0,0,18
"455",1,0,0,0,0,3
"456",1,0,0,0,0,4
"457",1,0,0,0,0,5
"458",1,0,0,0,0,2
"459",1,0,0,0,0,3
"460",1,0,0,0,0,4
"461",1,0,0,0,0,180
"462",1,0,0,0,0,5
"463",1,0,0,0,0,5
"464",1,0,0,0,0,3
"465",1,0,0,0,0,16
"466",1,0,0,0,0,9
"467",1,0,0,0,0,4
"468",1,0,0,0,0,8
"469",1,0,0,0,0,2
"470",1,0,0,0,0,2
"471",1,0,0,0,0,30
"472",1,0,0,0,0,27
"473",1,0,0,0,0,6
"474",1,0,0,0,0,7
"475",1,0,0,0,0,7
"476",1,0,0,0,0,7
"477",1,0,0,0,0,2
"478",1,0,0,0,0,2
"479",1,0,0,0,0,3
"480",1,0,0,0,0,6
"481",1,0,0,0,0,4
"482",1,0,0,0,0,2
"483",1,0,0,0,0,2
"484",1,0,0,0,0,3
"485",1,0,0,0,0,3
"486",1,0,0,0,0,4
"487",1,0,0,0,0,5
"488",1,0,0,0,0,3
"489",1,0,0,0,0,10
"490",1,0,0,0,0,2
"491",1,0,0,0,0,2
"492",1,0,0,0,0,2
"493",1,0,0,0,0,10
"494",1,0,0,0,0,2
"495",1,0,0,0,0,3
"496",1,0,0,0,0,3
"497",1,0,0,0,0,3
"498",1,0,0,0,0,3
"499",1,0,0,0,0,2
"500",1,0,0,0,0,15
"501",1,0,0,0,0,5
"502",1,0,0,0,0,5
"503",1,0,0,0,0,7
"504",1,0,0,0,0,10
"505",1,0,0,0,0,3
"506",1,0,0,0,0,9
"507",1,0,0,0,0,3
"508",1,0,0,0,0,1
"509",1,0,0,0,0,2
"510",1,0,0,0,0,3
"511",1,0,0,0,0,18
"512",1,0,0,0,0,3
"513",1,0,0,0,0,11
"514",1,0,0,0,0,26
"515",1,0,0,0,0,8
"516",1,0,0,0,0,1
"517",1,0,0,0,0,5
"518",0,1,0,0,0,7
"519",0,1,0,0,0,3
"520",0,1,0,0,0,4
"521",0,1,0,0,0,10
"522",0,1,0,0,0,1
"523",0,1,0,0,0,10
"524",0,1,0,0,0,8
"525",0,1,0,0,0,6
"526",0,1,0,0,0,4
"527",0,1,0,0,0,6
"528",0,1,0,0,0,2
"529",0,1,0,0,0,2
"530",0,1,0,0,0,15
"531",0,1,0,0,0,7
"532",0,1,0,0,0,3
"533",0,1,0,0,0,5
"534",0,1,0,0,0,14
"535",0,1,0,0,0,4
"536",0,1,0,0,0,1
"537",0,1,0,0,0,12
"538",0,1,0,0,0,5
"539",0,1,0,0,0,1
"540",0,1,0,0,0,35
"541",0,1,0,0,0,3
"542",0,1,0,0,0,3
"543",0,1,0,0,0,11
"544",0,1,0,0,0,6
"545",0,1,0,0,0,5
"546",0,1,0,0,0,6
"547",0,1,0,0,0,4
"548",0,1,0,0,0,7
"549",0,1,0,0,0,8
"550",0,1,0,0,0,8
"551",0,1,0,0,0,2
"552",0,1,0,0,0,10
"553",0,1,0,0,0,3
"554",0,1,0,0,0,14
"555",0,1,0,0,0,7
"556",0,1,0,0,0,7
"557",0,1,0,0,0,3
"558",0,1,0,0,0,4
"559",0,1,0,0,0,10
"560",0,1,0,0,0,1
"561",0,1,0,0,0,10
"562",0,1,0,0,0,8
"563",0,1,0,0,0,5
"564",0,1,0,0,0,3
"565",0,1,0,0,0,3
"566",0,1,0,0,0,2
"567",0,1,0,0,0,3
"568",0,1,0,0,0,3
"569",0,1,0,0,0,6
"570",0,1,0,0,0,6
"571",0,1,0,0,0,21
"572",0,1,0,0,0,4
"573",0,1,0,0,0,6
"574",0,1,0,0,0,6
"575",0,1,0,0,0,2
"576",0,1,0,0,0,2
"577",0,1,0,0,0,3
"578",0,1,0,0,0,7
"579",0,1,0,0,0,4
"580",0,1,0,0,0,1
"581",0,1,0,0,0,4
"582",0,1,0,0,0,6
"583",0,1,0,0,0,7
"584",0,1,0,0,0,3
"585",0,1,0,0,0,7
"586",0,1,0,0,0,5
"587",0,1,0,0,0,6
"588",0,1,0,0,0,8
"589",0,1,0,0,0,4
"590",0,1,0,0,0,7
"591",0,1,0,0,0,7
"592",0,1,0,0,0,5
"593",0,1,0,0,0,10
"594",0,1,0,0,0,6
"595",0,1,0,0,0,10
"596",0,1,0,0,0,14
"597",0,1,0,0,0,7
"598",0,1,0,0,0,14
"599",0,1,0,0,0,4
"600",0,1,0,0,0,1
"601",0,1,0,0,0,12
"602",0,1,0,0,0,5
"603",0,1,0,0,0,6
"604",0,1,0,0,0,6
"605",0,1,0,0,0,35
"606",0,1,0,0,0,3
"607",0,1,0,0,0,3
"608",0,1,0,0,0,11
"609",0,1,0,0,0,5
"610",0,1,0,0,0,12
"611",0,1,0,0,0,7
"612",0,1,0,0,0,2
"613",0,1,0,0,0,5
"614",0,1,0,0,0,4
"615",0,1,0,0,0,5
"616",0,1,0,0,0,7
"617",0,1,0,0,0,9
"618",0,1,0,0,0,6
"619",0,1,0,0,0,14
"620",0,1,0,0,0,7
"621",0,1,0,0,0,3
"622",0,1,0,0,0,4
"623",0,1,0,0,0,3
"624",0,1,0,0,0,2
"625",0,1,0,0,0,3
"626",0,1,0,0,0,16
"627",0,1,0,0,0,10
"628",0,1,0,0,0,1
"629",0,1,0,0,0,9
