"","before shift began","<1","2-Jan","4-Feb","6-Apr","8-Jun","10-Aug","12-Oct","16-Dec",">16","value"
"53",0,1,0,0,0,0,0,0,0,0,14
"54",0,1,0,0,0,0,0,0,0,0,9
"55",0,1,0,0,0,0,0,0,0,0,6
"56",0,1,0,0,0,0,0,0,0,0,4
"57",0,1,0,0,0,0,0,0,0,0,5
"58",0,1,0,0,0,0,0,0,0,0,3
"59",0,1,0,0,0,0,0,0,0,0,2
"60",0,1,0,0,0,0,0,0,0,0,5
"61",0,1,0,0,0,0,0,0,0,0,61
"62",0,1,0,0,0,0,0,0,0,0,7
"63",0,1,0,0,0,0,0,0,0,0,5
"64",0,1,0,0,0,0,0,0,0,0,1
"65",0,1,0,0,0,0,0,0,0,0,7
"66",0,1,0,0,0,0,0,0,0,0,3
"67",0,1,0,0,0,0,0,0,0,0,14
"68",0,1,0,0,0,0,0,0,0,0,4
"69",0,1,0,0,0,0,0,0,0,0,6
"70",0,1,0,0,0,0,0,0,0,0,26
"71",0,1,0,0,0,0,0,0,0,0,46
"72",0,1,0,0,0,0,0,0,0,0,2
"73",0,1,0,0,0,0,0,0,0,0,29
"74",0,1,0,0,0,0,0,0,0,0,6
"75",0,1,0,0,0,0,0,0,0,0,5
"76",0,1,0,0,0,0,0,0,0,0,5
"77",0,1,0,0,0,0,0,0,0,0,8
"78",0,1,0,0,0,0,0,0,0,0,69
"79",0,1,0,0,0,0,0,0,0,0,5
"80",0,1,0,0,0,0,0,0,0,0,1
"81",0,1,0,0,0,0,0,0,0,0,32
"82",0,1,0,0,0,0,0,0,0,0,7
"83",0,1,0,0,0,0,0,0,0,0,21
"84",0,1,0,0,0,0,0,0,0,0,2
"85",0,1,0,0,0,0,0,0,0,0,15
"86",0,1,0,0,0,0,0,0,0,0,2
"87",0,1,0,0,0,0,0,0,0,0,4
"88",0,1,0,0,0,0,0,0,0,0,3
"89",0,1,0,0,0,0,0,0,0,0,4
"90",0,1,0,0,0,0,0,0,0,0,14
"91",0,1,0,0,0,0,0,0,0,0,3
"92",0,1,0,0,0,0,0,0,0,0,12
"93",0,1,0,0,0,0,0,0,0,0,20
"94",0,1,0,0,0,0,0,0,0,0,23
"95",0,1,0,0,0,0,0,0,0,0,5
"96",0,1,0,0,0,0,0,0,0,0,14
"97",0,1,0,0,0,0,0,0,0,0,14
